Ticker;Value;Bazin Profit;Graham Profit
BRSR6;10,17;0,4732724953567138;2,27271479157788
CLSC4;79,99;-0,2887709644261087;1,3226032131145549
JHSF3;3,91;0,4975789997158284;2,2217070619895285
ISAE4;24,19;0,574422167103027;1,4039927150685099
BMEB3;33,02;-0,471757857190928;0,5587675989576482
LAVV3;7,91;0,30347327574097505;1,012545341327003
BMGB4;3,89;0,5087716652385035;1,66468903765693
BRSR3;12,07;0,26711066003866324;1,7575401350743194
ABCB4;20,7;0,13477294685990326;1,3165115114889336
EQMA3B;24;-1;-1
CEEB5;35,7;1,732097374727668;0,7678133904121176
CMIG3;14,88;0,5803774977598566;0,6707129818870723
BALM4;10,9;1,1043455657492358;1,9115051463092252
CYRE3;18,05;-0,231532406894429;1,3655121369344347
LOGG3;19,14;-0,3876013409961686;2,062116919372696
WIZC3;5,82;0,5674072069492173;0,6702939944350155
VALE3;55,86;1,8155367217647296;0,8767210179394207
SBFG3;10,95;-0,8713003551496703;1,2292011095433417
DEXP4;8,7;-0,23527114942528726;1,2901588561073436
CAML3;6,81;-0,2652567547723934;1,4707334267955754
CGAS3;122;0,33101162249544647;-0,5086964629204305
DEXP3;8,5;-0,3097695032679738;1,344044946839281
TECN3;5,49;-0,8350601497672536;1,1686486156267137
VLID3;24,5;-0,6575092970521541;0,8281923805382809
RSUL4;53,5;-0,4909441329179647;0,6143106197958867
SAPR11;28,35;-0,19348498334313147;1,2000881816542432
SAPR3;5,58;-0,241182666268419;1,2362133986281258
CEEB3;37,96;1,5694384234867114;0,6625642264940095
SAPR4;5,63;-0,17271349911190048;1,2163535993507892
CGRA3;26;0,4526974358974363;1,6275955046571897
EQPA3;5,75;0,008228985507246378;0,1863113392245641
BMEB4;37,14;-0,5805566026446479;0,3858509993963799
ISAE3;31,03;0,36987789594299403;0,8740761771674912
CAMB3;10,43;-0,7776465803771173;0,5617110596929888
CGRA4;26,15;0,5793218610579991;1,6125232551084872
CGAS5;133,99;0,3343414599762835;-0,5526604110477835
PETR4;38,1;3,339474619422572;0,7424015530084744
JOPA3;21;-0,33740370370370365;2,0948228659211776
BALM3;13;-0,32317615384615384;1,4411850842131195
LEVE3;27,15;2,242931068139963;0,03857998868946022
BRSR5;14,8;0,02325661411411395;1,2488857723207456
POMO3;6,24;-0,4827279202279202;0,42463126522756944
SOJA3;10,48;-0,43298085771840544;1,018028257963405
HAGA3;2,25;-1;-1
COCE5;24,11;0,3521107839070927;2,0625545971607484
TRIS3;4,87;-0,31686719142140085;1,3701227029471394
CEBR5;15,6;7,959064544159546;0,8157247888586365
CSUD3;14,4;-0,06446898533950629;0,630759025730043
CSMG3;22,7;0,03329990455212939;0,8233479644043489
MTSA4;33,28;0,39619057158119664;1,3362643089197905
MRSA3B;26,56;-0,7196907086680053;0,718566479599057
MRSA3B;26,56;-0,7196907086680053;0,718566479599057
ENGI4;6,86;0,23258827340459987;0,9133840029819793
CEBR3;16,1;7,680832712215322;0,759335820260542
NEOE3;20,3;-0,3209026765188835;1,1263847937295806
PETR3;41,07;3,0259355220084947;0,6163988110451151
SBSP3;89,41;-0,8374156507474928;0,45969265424298333
CPFE3;32;0,7064749531250001;0,36137137888601134
MRSA5B;29,9;-0,7261031326644369;0,5265928327140785
MRSA5B;29,9;-0,7261031326644369;0,5265928327140785
ROMI3;9,05;0,693465316144874;1,1611632654077457
COCE3;26,01;0,25334059549745813;1,8388385750690364
PLPL3;10,59;-0,7287027174483265;0,17138039465694943
WLMM3;27;-0,45357544238683134;0,571809918454864
NUTR3;4,05;-1;0,5603101939148409
MRSA6B;29,99;-0,7269250972546404;0,5220115271140697
MRSA6B;29,99;-0,7269250972546404;0,5220115271140697
KEPL3;9,55;0,24250987201861562;0,18271312651413818
CEBR6;16,9;8,09689704142012;0,6760536512541262
GOAU3;11,29;1,5391201653380575;1,2663210058895573
GOAU4;11,3;1,5368731563421827;1,2643154120790352
MILS3;8,87;-0,5273121382938745;0,488738742530356
ENGI11;38,3;0,10385842761821884;0,7148967379825011
ITSA4;9,17;0,08622228280625222;0,6586163387661315
BEES3;8,12;0,018011897920087838;0,7170862126042736
WLMM4;26,5;-0,5100484947589099;0,6014667093691068
ITSA3;9,31;0,03913354815610437;0,6336747396869413
CSED3;2,99;-0,3230323299888518;1,120359135712035
GRND3;5,28;1,6927436026936022;0,575206598020171
EGIE3;37,07;0,1508487111470791;0,051074943676473916
BOBR4;2,11;-1;NaN
BEES4;8,42;-0,07324916204803367;0,6559073689247863
FIQE3;3,57;-0,4981635231870526;0,654416766699121
JSLG3;6,2;-0,04754439964157686;0,8490266584792416
SHUL4;5,57;1,6877986933971676;0,46989358162289596
PATI3;25,02;0,2804349853450574;1,1146198124115552
PRIO3;41,5;-0,9902753012048193;0,2093108445834413
ITUB3;28,21;-0,3872935129386744;0,5203022161201332
EZTC3;11,34;-0,31072574955908283;1,5116815072236327
BPAC5;7,42;-0,5432750524109015;0,4065636206614278
SMTO3;24,69;0,05888079069348828;0,574719109533163
HYPE3;18,42;0,12440161660031368;0,7806599401006586
BBDC3;11,06;0,537805520393811;0,9890524799328548
MTRE3;3,1;1,9593244444444444;2,003899650677824
SANB3;11,56;0,543619108035371;1,0917784098382581
UGPA3;16,86;-0,48172202451561874;0,565760472120663
BRBI11;14,2;0,05633802816901423;0,2899007633803359
PFRM3;6,3;-0,5065085802469136;1,3100637562247344
CMIN3;5,51;1,1843481347045772;-0,07388986546348919
CSAN3;8,91;-0,07160693976805077;0,9049623110862808
RECV3;16,06;-0,3882819323370693;0,65746535902652
TAEE3;11,3;1,0112737807276302;0,38176212972096635
SANB11;24,25;0,5452759152348228;0,994622380249377
TAEE11;33,72;1,0220122462765255;0,39091970141522103
AGRO3;23,47;1,6247454599252005;0,6095899609023314
TAEE4;11,31;1,0094956036938796;0,38054041254172577
VULC3;15,97;-0,424433660335351;0,14441171489421745
INTB3;14,2;-0,4519865766823161;0,3167074497520297
